TIME_PERIOD,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,UK
2000,976.0,1470.0,1012.0,111.0,1486.0,7503.0,498.0,204.0,2037.0,5746.0,396.0,8059.0,655.0,1200.0,418.0,7061.0,641.0,76.0,635.0,15.0,1082.0,6294.0,1836.0,2466.0,591.0,314.0,628.0,3580.0
2001,958.0,1486.0,1011.0,98.0,1333.0,6977.0,431.0,199.0,1880.0,5478.0,433.0,8136.0,647.0,1239.0,412.0,7096.0,706.0,70.0,558.0,16.0,993.0,5534.0,1655.0,2450.0,583.0,278.0,625.0,3598.0
2002,956.0,1306.0,959.0,94.0,1430.0,6842.0,463.0,223.0,1634.0,5312.0,415.0,7630.0,627.0,1429.0,378.0,6980.0,697.0,62.0,559.0,16.0,987.0,5826.0,1653.0,2411.0,560.0,269.0,625.0,3581.0
2003,931.0,1213.0,960.0,97.0,1447.0,6613.0,432.0,164.0,1605.0,5373.0,379.0,6034.0,701.0,1326.0,337.0,6563.0,709.0,53.0,532.0,16.0,1028.0,5642.0,1523.0,2229.0,529.0,242.0,653.0,3658.0
2004,878.0,1162.0,943.0,117.0,1382.0,5842.0,369.0,170.0,1670.0,4715.0,375.0,5506.0,608.0,1296.0,377.0,6122.0,752.0,50.0,516.0,13.0,804.0,5712.0,1283.0,2442.0,480.0,274.0,608.0,3368.0
2005,768.0,1089.0,957.0,102.0,1286.0,5361.0,331.0,170.0,1658.0,4406.0,379.0,5318.0,597.0,1278.0,400.0,5818.0,773.0,47.0,442.0,17.0,750.0,5444.0,1228.0,2629.0,440.0,258.0,606.0,3336.0
2006,730.0,1069.0,1043.0,86.0,1063.0,5091.0,306.0,204.0,1657.0,4069.0,336.0,4709.0,614.0,1303.0,365.0,5669.0,760.0,43.0,407.0,11.0,730.0,5243.0,949.0,2587.0,445.0,262.0,614.0,3298.0
2007,691.0,1071.0,1006.0,89.0,1221.0,4949.0,406.0,196.0,1612.0,3785.0,380.0,4620.0,619.0,1232.0,338.0,5131.0,740.0,46.0,419.0,12.0,709.0,5583.0,958.0,2800.0,471.0,293.0,661.0,3059.0
2008,679.0,944.0,1061.0,82.0,1076.0,4477.0,406.0,132.0,1553.0,3064.0,344.0,4275.0,664.0,996.0,280.0,4725.0,499.0,35.0,316.0,9.0,677.0,5437.0,867.0,3065.0,397.0,214.0,606.0,2645.0
2009,633.0,944.0,901.0,71.0,901.0,4152.0,303.0,98.0,1456.0,2687.0,279.0,4273.0,548.0,822.0,238.0,4237.0,370.0,48.0,254.0,15.0,644.0,4572.0,823.0,2796.0,358.0,171.0,384.0,2337.0
